time,accel_x,accel_y,accel_z
352.28,4.183119,-0.065361,-13.399054
352.3,3.987036,-0.261445,-13.497096
352.32,4.444564,0.490209,-13.529777
352.34,4.313842,0.326806,-13.595138
352.36,3.856313,-0.163403,-13.562457
352.38,3.987036,0.326806,-13.137609
352.4,4.150439,0.261445,-13.006887
352.42,3.790952,-0.032681,-12.6474
352.44,4.019716,0.130722,-13.235651
352.46,4.248481,0.130722,-13.366373
352.48,4.052397,-0.098042,-13.497096
352.5,4.085078,0.163403,-13.627818
352.52,4.085078,0.196084,-13.399054
352.54,4.052397,-0.163403,-13.202971
352.56,3.69291,0.163403,-12.876165
352.58,3.987036,0.588251,-12.6474
352.6,3.758271,-0.065361,-12.189871
352.62,3.529507,0.392167,-12.287913
352.64,3.725591,0.326806,-12.189871
352.66,3.758271,-0.098042,-11.797704
352.68,3.660229,-0.032681,-11.961107
352.7,3.888994,0.130722,-12.091829
352.72,3.921674,0.163403,-11.568939
352.74,3.496826,-0.032681,-11.209453
352.76,3.627549,0.228764,-10.980688
352.78,3.725591,0.098042,-10.915327
352.8,3.366104,0.196084,-10.261715
352.82,3.496826,0.718974,-10.163673
352.84,3.464146,0.392167,-9.836866
352.86,3.268062,0,-10.098311
352.88,3.366104,0.359487,-10.457798
352.9,3.529507,0.424848,-10.751924
352.92,3.464146,0.130722,-11.144092
352.94,3.268062,-0.163403,-11.470898
352.96,3.627549,0.130722,-11.797704
352.98,3.627549,0.032681,-11.863065
353,3.366104,-0.359487,-12.12451
353.02,3.431465,-0.392167,-12.451316
353.04,3.758271,0.163403,-12.12451
353.06,3.594868,-0.032681,-11.765023
353.08,3.398784,-0.52289,-11.765023
353.1,3.627549,-0.130722,-12.059149
353.12,3.725591,0.261445,-12.189871
353.14,3.562188,-0.196084,-11.961107
353.16,3.398784,-0.359487,-12.353274
353.18,3.529507,-0.065361,-12.778122
353.2,3.69291,0.032681,-13.072248
353.22,3.562188,-0.228764,-12.810803
353.24,3.529507,-0.228764,-12.418635
353.26,3.660229,0.228764,-12.091829
353.28,3.856313,0.163403,-12.483996
353.3,3.987036,-0.392167,-13.562457
353.32,4.085077,-0.653612,-15.229169
353.34,4.248481,-0.196084,-16.078865
353.36,4.117758,0.065361,-16.242268
353.38,4.019716,-0.555571,-15.654017
353.4,3.790952,-0.588251,-14.77164
353.42,3.725591,-0.392167,-13.856583
353.44,3.366104,-0.130722,-12.582039
353.46,3.235381,-0.751654,-11.797704
353.48,3.104659,-0.686293,-11.242133
353.5,3.496826,-0.359487,-10.621202
353.52,3.17002,-0.098042,-10.327076
353.54,2.908575,-0.457529,-10.03295
353.56,3.006617,-0.849696,-9.967589
353.58,3.202701,-0.588251,-10.130992
353.6,3.333423,-0.457529,-10.261715
353.62,3.039298,-0.261445,-10.392437
353.64,2.745172,-0.817015,-10.163672
353.66,3.006617,-0.653612,-10.196353
353.68,3.137339,-0.490209,-10.03295
353.7,3.071978,-0.490209,-10.261715
353.72,3.006617,-0.751654,-10.392437
353.74,3.333423,-0.751654,-10.52316
353.76,3.464146,-0.294126,-10.817286
353.78,3.366104,-0.490209,-10.817286
353.8,3.202701,-0.882377,-10.948008
353.82,3.333423,-0.392167,-10.457798
353.84,3.268062,-0.261445,-10.065631
353.86,3.071978,-0.424848,-9.51006
353.88,3.137339,-0.261445,-9.412019
353.9,3.300743,-0.098042,-9.412019
353.92,3.039298,0.032681,-9.183254
353.94,3.104659,-0.228764,-9.379338
353.96,3.300743,0.065361,-9.608102
353.98,3.17002,0.130722,-9.47738
354,3.006617,-0.032681,-9.771505
354.02,3.039298,0.032681,-10.359756
354.04,3.366104,0.196084,-10.588521
354.06,3.17002,0.424848,-10.229034
354.08,3.039298,-0.032681,-10.294395
354.1,3.071978,0.196084,-10.653882
354.12,3.235381,0.032681,-10.686563
354.14,3.104659,0.065361,-10.490479
354.16,3.071978,-0.065361,-10.686563
354.18,3.039298,-0.163403,-10.817286
354.2,3.366104,0.065361,-11.242133
354.22,3.431465,0.294126,-11.307494
354.24,3.202701,-0.032681,-11.60162
354.26,3.039298,-0.163403,-11.503578
354.28,3.202701,0.261445,-11.209453
354.3,3.137339,0.457529,-11.274814
354.32,2.777853,0.228764,-11.013369
354.34,2.843214,-0.196084,-10.849966
354.36,2.843214,0.130722,-10.849966
354.38,2.941256,0.294126,-10.294395
