time,gyro_x,gyro_y,gyro_z
264.22,0.171042,-0.102102,0.178896
264.24,0.175406,-0.09163,0.174533
264.26,0.190241,-0.085521,0.171915
264.28,0.17017,-0.089884,0.162316
264.3,0.171042,-0.087266,0.157952
264.32,0.175406,-0.08203,0.157952
264.34,0.197222,-0.069813,0.161443
264.36,0.219911,-0.06545,0.161443
264.38,0.241728,-0.060214,0.16057
264.4,0.191986,-0.063705,0.150098
264.42,0.135263,-0.054978,0.128282
264.44,0.101229,-0.057596,0.128282
264.46,0.107338,-0.066323,0.131772
264.48,0.211185,-0.079412,0.140499
264.5,0.329867,-0.09163,0.146608
264.52,0.266163,-0.082903,0.15708
264.54,0.223402,-0.059341,0.150098
264.56,0.218166,-0.025307,0.130027
264.58,0.232129,0.003491,0.109956
264.6,0.329867,0.024435,0.090757
264.62,0.323759,0.038397,0.08203
264.64,0.359538,0.049742,0.073304
264.66,0.36041,0.061959,0.073304
264.68,0.337721,0.054978,0.075922
264.7,0.286234,0.037525,0.080285
264.72,0.236492,0.010472,0.08203
264.74,0.273144,0.008727,0.09163
264.76,0.342957,0.034034,0.095993
264.78,0.451168,0.064577,0.097738
264.8,0.545415,0.073304,0.094248
264.82,0.617847,0.068941,0.074176
264.84,0.479966,0.054105,0.045379
264.86,0.369137,0.058469,0.023562
264.88,0.237365,0.068941,0.015708
264.9,0.103847,0.050615,0.015708
264.92,0.056723,0.037525,0.021817
264.94,0.053233,0.030543,0.029671
264.96,0.133518,0.02618,0.029671
264.98,0.227765,0.020944,0.038397
265,0.344703,0.025307,0.055851
265.02,0.407534,0.031416,0.068941
265.04,0.446804,0.031416,0.079412
265.06,0.462512,0.031416,0.093375
265.08,0.475602,0.034907,0.098611
265.1,0.424988,0.041888,0.093375
265.12,0.381354,0.059341,0.088139
265.14,0.331613,0.086394,0.09512
265.16,0.272271,0.101229,0.101229
265.18,0.210312,0.109083,0.111701
265.2,0.153589,0.102102,0.110828
265.22,0.068941,0.09163,0.107338
265.24,-0.034034,0.084648,0.119555
265.26,-0.011345,0.080285,0.127409
265.28,0.013963,0.057596,0.141372
265.3,0.017453,0.036652,0.153589
265.32,0.047124,0.017453,0.157952
265.34,0.13439,0.013963,0.175406
265.36,0.165806,0.024435,0.193732
265.38,0.129154,0.049742,0.216421
265.4,0.029671,0.09512,0.221657
265.42,-0.058469,0.123918,0.226893
265.44,-0.063705,0.142244,0.254818
265.46,-0.033161,0.14748,0.257436
265.48,-0.016581,0.149226,0.267035
265.5,-0.031416,0.159698,0.274017
265.52,-0.054105,0.171042,0.279253
265.54,-0.044506,0.175406,0.288852
265.56,-0.096866,0.182387,0.294961
265.58,-0.107338,0.175406,0.303687
265.6,-0.102974,0.172788,0.323759
265.62,-0.088139,0.156207,0.331613
265.64,-0.095993,0.141372,0.329867
265.66,-0.115192,0.149226,0.336849
265.68,-0.19984,0.16057,0.345575
265.7,-0.246091,0.151844,0.363901
265.72,-0.263545,0.146608,0.385718
265.74,-0.273144,0.154462,0.387463
265.76,-0.269653,0.164061,0.3831
265.78,-0.255691,0.14748,0.388336
265.8,-0.262672,0.139626,0.379609
265.82,-0.315905,0.141372,0.362156
265.84,-0.370882,0.142244,0.353429
265.86,-0.387463,0.132645,0.357793
265.88,-0.37001,0.114319,0.363901
265.9,-0.306305,0.101229,0.378736
265.92,-0.247837,0.087266,0.383972
265.94,-0.221657,0.077667,0.391826
265.96,-0.233874,0.080285,0.397935
265.98,-0.239983,0.084648,0.401426
266,-0.246964,0.08203,0.404044
266.02,-0.242601,0.08203,0.404044
266.04,-0.246091,0.088139,0.404044
266.06,-0.241728,0.084648,0.403171
266.08,-0.269653,0.093375,0.407534
266.1,-0.239983,0.109083,0.404916
266.12,-0.234747,0.122173,0.411898
266.14,-0.257436,0.124791,0.423242
266.16,-0.289725,0.1309,0.420624
266.18,-0.306305,0.140499,0.42237
266.2,-0.315905,0.155334,0.423242
266.22,-0.297579,0.165806,0.423242
266.24,-0.279253,0.175406,0.408407
266.26,-0.334231,0.179769,0.38659
266.28,-0.438078,0.174533,0.359538
266.3,-0.477348,0.177151,0.346448
266.32,-0.483456,0.189368,0.332485
266.34,-0.479093,0.191114,0.336849
266.36,-0.421497,0.190241,0.327249
266.38,-0.3735,0.169297,0.333358
266.4,-0.319395,0.137881,0.34383
266.42,-0.321141,0.103847,0.338594
266.44,-0.292343,0.09512,0.357793
266.46,-0.305433,0.079412,0.36041
266.48,-0.364774,0.054105,0.358665
266.5,-0.389208,0.035779,0.36041
266.52,-0.308051,0.033161,0.353429
266.54,-0.233001,0.050615,0.354302
266.56,-0.193732,0.085521,0.347321
266.58,-0.16057,0.120428,0.346448
266.6,-0.131772,0.135263,0.355174
266.62,-0.1213,0.149226,0.349939
266.64,-0.128282,0.149226,0.342957
266.66,-0.167552,0.149226,0.329867
266.68,-0.191114,0.141372,0.333358
266.7,-0.200713,0.131772,0.336849
266.72,-0.172788,0.119555,0.346448
266.74,-0.137008,0.113446,0.349939
266.76,-0.068068,0.113446,0.350811
266.78,-0.024435,0.116937,0.36041
266.8,-0.007854,0.120428,0.363028
266.82,0.014835,0.116937,0.36041
266.84,0.054105,0.116064,0.353429
266.86,0.111701,0.114319,0.359538
266.88,0.154462,0.106465,0.355175
266.9,0.19635,0.10472,0.354302
266.92,0.164061,0.103847,0.347321
266.94,0.105592,0.113446,0.341212
266.96,0.079412,0.129154,0.354302
266.98,0.113446,0.126536,0.353429
267,0.125664,0.111701,0.35692
267.02,0.161443,0.076794,0.351684
267.04,0.175406,0.066323,0.346448
267.06,0.202458,0.061087,0.342085
267.08,0.203331,0.061087,0.348193
267.1,0.182387,0.060214,0.345575
267.12,0.235619,0.079412,0.352556
267.14,0.322886,0.127409,0.362156
267.16,0.429351,0.171915,0.354302
267.18,0.526217,0.203331,0.340339
267.2,0.74002,0.225147,0.332485
267.22,0.873537,0.226893,0.322886
267.24,0.904953,0.219039,0.316777
267.26,0.859575,0.198095,0.287979
267.28,0.750492,0.174533,0.263545
267.3,0.683296,0.131772,0.238237
267.32,0.655371,0.099484,0.228638
267.34,0.627446,0.103847,0.208567
267.36,0.549779,0.112574,0.198095
267.38,0.508763,0.1213,0.181514
267.4,0.421497,0.13439,0.177151
267.42,0.358665,0.148353,0.176278
267.44,0.231256,0.164934,0.181514
267.46,0.197222,0.192859,0.179769
267.48,0.164061,0.232129,0.179769
267.5,0.171042,0.270526,0.178024
267.52,0.09163,0.284489,0.185878
267.54,0.020944,0.294961,0.180642
267.56,-0.050615,0.293215,0.175406
267.58,-0.116937,0.298451,0.166679
267.6,-0.192859,0.302815,0.167552
267.62,-0.268781,0.293215,0.150971
267.64,-0.305433,0.29147,0.155334
267.66,-0.281871,0.294088,0.164934
267.68,-0.210312,0.312414,0.178896
267.7,-0.154462,0.324631,0.193732
267.72,-0.092502,0.318523,0.204204
267.74,-0.100356,0.294961,0.214675
267.76,-0.131772,0.244346,0.207694
267.78,-0.219039,0.211185,0.204204
267.8,-0.222529,0.191986,0.219911
267.82,-0.246091,0.178896,0.229511
267.84,-0.306305,0.18675,0.234747
267.86,-0.423242,0.203331,0.241728
267.88,-0.479966,0.211185,0.251327
267.9,-0.499164,0.217293,0.261799
267.92,-0.470366,0.198095,0.274889
267.94,-0.414516,0.159698,0.279253
267.96,-0.363028,0.114319,0.284489
267.98,-0.344703,0.084648,0.272271
268,-0.303687,0.067195,0.263545
268.02,-0.27838,0.06545,0.260927
268.04,-0.269653,0.06545,0.271399
268.06,-0.251327,0.047124,0.27838
268.08,-0.260054,0.035779,0.267035
